2016-02-23 13:17:59,725 |0.0.0.0-8443-exec-65 |ConfigXMLReader               |I| controller loaded: 0.001s, 111 requests, 70 views in jndi:/0.0.0.0/webtools/WEB-INF/controller.xml
2016-02-23 13:17:59,729 |0.0.0.0-8443-exec-65 |ConfigXMLReader               |I| controller loaded: 0.001s, 39 requests, 19 views in file:/C:/Data/eclipse/ofbiz/apache-ofbiz-13.07.02/framework/common/webcommon/WEB-INF/common-controller.xml
2016-02-23 13:17:59,730 |0.0.0.0-8443-exec-65 |ConfigXMLReader               |I| controller loaded: 0.0s, 0 requests, 0 views in file:/C:/Data/eclipse/ofbiz/apache-ofbiz-13.07.02/framework/common/webcommon/WEB-INF/handlers-controller.xml
2016-02-23 13:17:59,733 |0.0.0.0-8443-exec-65 |ConfigXMLReader               |I| controller loaded: 0.001s, 26 requests, 10 views in file:/C:/Data/eclipse/ofbiz/apache-ofbiz-13.07.02/framework/common/webcommon/WEB-INF/portal-controller.xml
2016-02-23 13:17:59,735 |0.0.0.0-8443-exec-65 |ConfigXMLReader               |I| controller loaded: 0.001s, 30 requests, 13 views in file:/C:/Data/eclipse/ofbiz/apache-ofbiz-13.07.02/framework/common/webcommon/WEB-INF/security-controller.xml
2016-02-23 13:17:59,737 |0.0.0.0-8443-exec-65 |ConfigXMLReader               |I| controller loaded: 0.001s, 5 requests, 0 views in file:/C:/Data/eclipse/ofbiz/apache-ofbiz-13.07.02/framework/common/webcommon/WEB-INF/tempexpr-controller.xml
2016-02-23 13:17:59,738 |0.0.0.0-8443-exec-65 |RequestHandler                |I| Rendering View [main], sessionId=8FBC5D3CA47E4012383D1A403CF6D186.jvm1
2016-02-23 13:17:59,782 |0.0.0.0-8443-exec-65 |ServiceDispatcher             |T| Sync service [webtools/getUserPreferenceGroup] finished in [1] milliseconds
2016-02-23 13:17:59,785 |0.0.0.0-8443-exec-65 |ScreenFactory                 |I| Got 11 screens in 0.003s from: file:/C:/Data/eclipse/ofbiz/apache-ofbiz-13.07.02/framework/webtools/widget/CommonScreens.xml
2016-02-23 13:17:59,790 |0.0.0.0-8443-exec-65 |ScreenFactory                 |I| Got 24 screens in 0.004s from: file:/C:/Data/eclipse/ofbiz/apache-ofbiz-13.07.02/framework/common/widget/CommonScreens.xml
2016-02-23 13:17:59,798 |0.0.0.0-8443-exec-65 |ServiceDispatcher             |T| Sync service [webtools/getVisualThemeResources] finished in [7] milliseconds
2016-02-23 13:17:59,832 |0.0.0.0-8443-exec-65 |ModelService                  |I| Set default value [SECURITY] for parameter [primaryPermission]
2016-02-23 13:17:59,845 |0.0.0.0-8443-exec-65 |ServiceDispatcher             |T| Sync service [webtools/securityPermissionCheck] finished in [13] milliseconds
2016-02-23 13:17:59,847 |0.0.0.0-8443-exec-65 |ModelService                  |I| Set default value [SECURITY] for parameter [primaryPermission]
