2016-02-23 17:23:25,360 |0.0.0.0-8443-exec-88 |ServiceDispatcher             |T| Sync service [accounting/getUserPreferenceGroup] finished in [1] milliseconds
2016-02-23 17:23:25,360 |0.0.0.0-8443-exec-88 |PrimaryKeyFinder              |I| Returning null because found incomplete primary key in find: [GenericEntity:PartyNameView][partyId,null()]
2016-02-23 17:23:25,364 |0.0.0.0-8443-exec-88 |ServiceDispatcher             |T| Sync service [accounting/getLastSystemInfoNote] finished in [2] milliseconds
2016-02-23 17:23:25,366 |0.0.0.0-8443-exec-88 |PrimaryKeyFinder              |I| Returning null because found incomplete primary key in find: [GenericEntity:PartyAcctgPrefAndGroup][partyId,Company(java.lang.String)][roleTypeId,null()]
2016-02-23 17:23:25,368 |0.0.0.0-8443-exec-88 |ServiceDispatcher             |T| Sync service [accounting/getVisualThemeResources] finished in [1] milliseconds
2016-02-23 17:23:25,379 |0.0.0.0-8443-exec-88 |ServerHitBin                  |I| Visit delegatorName=default, ServerHitBin delegatorName=default
2016-02-23 17:23:25,382 |0.0.0.0-8443-exec-88 |ControlServlet                |T| [[[login(Domain:https://localhost)] Request Done- total:0.038,since last([login(Domain:htt...):0.038]]
2016-02-23 17:23:30,126 |0.0.0.0-8443-exec-89 |ControlServlet                |T| [[[login(Domain:https://localhost)] Request Begun, encoding=[UTF-8]- total:0.0,since last(Begin):0.0]]
2016-02-23 17:23:30,135 |0.0.0.0-8443-exec-89 |ServiceDispatcher             |T| Sync service [accounting/userLogin] finished in [7] milliseconds
2016-02-23 17:23:30,139 |0.0.0.0-8443-exec-89 |ServiceDispatcher             |T| Sync service [accounting/setUserPreference] finished in [4] milliseconds
2016-02-23 17:23:30,142 |0.0.0.0-8443-exec-89 |ServiceDispatcher             |T| Sync service [accounting/getUserPreference] finished in [1] milliseconds
2016-02-23 17:23:30,150 |0.0.0.0-8443-exec-89 |LoginWorker                   |I| Running autoLogin check.
2016-02-23 17:23:30,152 |0.0.0.0-8443-exec-89 |RequestHandler                |I| Ran Event [java:org.ofbiz.webapp.control.LoginWorker#login] from [request], result is [success]
2016-02-23 17:23:30,153 |0.0.0.0-8443-exec-89 |RequestHandler                |I| [Doing Previous Request]: /main/control/main sessionId=29CBEEB0685A6F80428A8ABCC5C05EE8.jvm1
2016-02-23 17:23:30,153 |0.0.0.0-8443-exec-89 |RequestHandler                |I| Sending redirect to: [/accounting/control/main/control/main?externalLoginKey=EL73654777825], sessionId=29CBEEB0685A6F80428A8ABCC5C05EE8.jvm1
2016-02-23 17:23:30,158 |0.0.0.0-8443-exec-89 |ServerHitBin                  |I| Visit delegatorName=default, ServerHitBin delegatorName=default
