2016-02-19 15:28:14,030 |main                 |ComponentContainer            |I| Loading component : [manufacturing]
2016-02-19 15:28:14,050 |main                 |ComponentContainer            |I| Loading component : [accounting]
2016-02-19 15:28:14,052 |main                 |ComponentContainer            |W| Location 'C:/Data/eclipse/ofbiz/apache-ofbiz-13.07.02/applications/accounting/lib/securepay' does not exist
2016-02-19 15:28:14,052 |main                 |ComponentContainer            |W| Location 'C:/Data/eclipse/ofbiz/apache-ofbiz-13.07.02/applications/accounting/lib/cybersource' does not exist
2016-02-19 15:28:14,052 |main                 |ComponentContainer            |W| Location 'C:/Data/eclipse/ofbiz/apache-ofbiz-13.07.02/applications/accounting/lib/worldpay' does not exist
2016-02-19 15:28:14,053 |main                 |ComponentContainer            |W| Location 'C:/Data/eclipse/ofbiz/apache-ofbiz-13.07.02/applications/accounting/lib/worldpay' does not exist
2016-02-19 15:28:14,066 |main                 |ComponentContainer            |I| Loading component : [humanres]
2016-02-19 15:28:14,079 |main                 |ComponentContainer            |I| Loading component : [order]
2016-02-19 15:28:14,094 |main                 |ComponentContainer            |I| Loading component : [marketing]
2016-02-19 15:28:14,110 |main                 |ComponentContainer            |I| Loading component : [commonext]
2016-02-19 15:28:14,111 |main                 |ComponentContainer            |I| Auto-Loading component directory : [C:/Data/eclipse/ofbiz/apache-ofbiz-13.07.02/specialpurpose]
2016-02-19 15:28:14,127 |main                 |ComponentContainer            |I| Loading component : [ecommerce]
2016-02-19 15:28:14,129 |main                 |ComponentContainer            |I| Auto-Loading component directory : [C:/Data/eclipse/ofbiz/apache-ofbiz-13.07.02/hot-deploy]
2016-02-19 15:28:14,141 |main                 |ComponentContainer            |I| All components loaded
2016-02-19 15:28:14,141 |main                 |ContainerLoader               |I| Loaded container: component-container
2016-02-19 15:28:14,142 |main                 |ContainerLoader               |I| Loading component's container: classloader-container
2016-02-19 15:28:14,186 |main                 |ClassLoaderContainer          |I| CachedClassLoader created
2016-02-19 15:28:14,186 |main                 |ContainerLoader               |I| Loaded component's container: classloader-container
2016-02-19 15:28:14,187 |main                 |ContainerLoader               |I| Loading component's container: naming-container
2016-02-19 15:28:14,189 |main                 |ContainerLoader               |I| Loaded component's container: naming-container
2016-02-19 15:28:14,189 |main                 |ContainerLoader               |I| Loading component's container: service-container
2016-02-19 15:28:14,191 |main                 |ContainerLoader               |I| Loaded component's container: service-container
2016-02-19 15:28:14,191 |main                 |ContainerLoader               |I| Loading component's container: rmi-dispatcher
2016-02-19 15:28:14,192 |main                 |ContainerLoader               |I| Loaded component's container: rmi-dispatcher
2016-02-19 15:28:14,192 |main                 |ContainerLoader               |I| Loading component's container: catalina-container
