2016-02-25 18:10:25,157 |0.0.0.0-8080-exec-46 |RequestHandler                |I| Ran Event [java:org.ofbiz.content.cms.CmsEvents#cms] from [request], result is [success]
2016-02-25 18:10:25,157 |0.0.0.0-8080-exec-46 |ControlServlet                |T| [[[themes(Domain:http://localhost)] Request Done- total:0.007,since last([themes(Domain:ht...):0.007]]
2016-02-25 18:10:25,163 |0.0.0.0-8080-exec-32 |ControlServlet                |T| [[[themes(Domain:http://localhost)] Request Begun, encoding=[UTF-8]- total:0.0,since last(Begin):0.0]]
2016-02-25 18:10:25,163 |0.0.0.0-8080-exec-32 |CmsEvents                     |I| Path INFO for Alias: themes/images/products/3.jpg
2016-02-25 18:10:25,164 |0.0.0.0-8080-exec-32 |CmsEvents                     |W| Could not verify contentId [themes] to webSiteId [WebStore], returning code: 404
2016-02-25 18:10:25,165 |0.0.0.0-8080-exec-32 |ServiceDispatcher             |T| Sync service [ecommerce/getUserPreferenceGroup] finished in [1] milliseconds
2016-02-25 18:10:25,167 |0.0.0.0-8080-exec-32 |RequestHandler                |I| Ran Event [java:org.ofbiz.content.cms.CmsEvents#cms] from [request], result is [success]
2016-02-25 18:10:25,167 |0.0.0.0-8080-exec-32 |ControlServlet                |T| [[[themes(Domain:http://localhost)] Request Done- total:0.004,since last([themes(Domain:ht...):0.004]]
2016-02-25 18:10:25,168 |0.0.0.0-8080-exec-44 |ControlServlet                |T| [[[themes(Domain:http://localhost)] Request Begun, encoding=[UTF-8]- total:0.0,since last(Begin):0.0]]
2016-02-25 18:10:25,168 |0.0.0.0-8080-exec-44 |CmsEvents                     |I| Path INFO for Alias: themes/images/products/4.jpg
2016-02-25 18:10:25,169 |0.0.0.0-8080-exec-44 |CmsEvents                     |W| Could not verify contentId [themes] to webSiteId [WebStore], returning code: 404
2016-02-25 18:10:25,170 |0.0.0.0-8080-exec-44 |ServiceDispatcher             |T| Sync service [ecommerce/getUserPreferenceGroup] finished in [1] milliseconds
2016-02-25 18:10:25,172 |0.0.0.0-8080-exec-44 |RequestHandler                |I| Ran Event [java:org.ofbiz.content.cms.CmsEvents#cms] from [request], result is [success]
2016-02-25 18:10:25,172 |0.0.0.0-8080-exec-44 |ControlServlet                |T| [[[themes(Domain:http://localhost)] Request Done- total:0.004,since last([themes(Domain:ht...):0.004]]
2016-02-25 18:10:25,178 |0.0.0.0-8080-exec-32 |ControlServlet                |T| [[[themes(Domain:http://localhost)] Request Begun, encoding=[UTF-8]- total:0.0,since last(Begin):0.0]]
2016-02-25 18:10:25,178 |0.0.0.0-8080-exec-32 |CmsEvents                     |I| Path INFO for Alias: themes/switch/images/clr/bootshop.png
2016-02-25 18:10:25,179 |0.0.0.0-8080-exec-32 |CmsEvents                     |W| Could not verify contentId [themes] to webSiteId [WebStore], returning code: 404
